,ISP.MI,BATS.L,VOD.L,ENEL.MI,TTE.PA,CS.PA,BAS.DE,ZURN.SW,GSK.L,ALV.DE,KER.PA,PRU.L,MOH.F,LOR.F,ABI.BR,ASML.AS,SAF.PA,PRX.AS,AIR.PA,ADYEN.AS
ISP.MI,1.0,1.0943403834727135,0.8697923122695816,1.18178161451309,0.7185893070435696,1.2502578364964108,1.2564012065820138,0.8166416892389751,1.4152306203468137,1.128118724256546,1.3559530818108139,1.1377521886593862,1.2722745571763474,1.4098262557475056,1.1428224642267655,1.6028992587702664,1.327017202143675,2.281923848711659,1.318248367655088,1.981970621661604
BATS.L,1.0943403834727135,1.0,0.9374769363097549,0.8552133725121316,1.0753265266250043,0.7438560717999922,0.8881194228666469,0.7912994319425994,1.0657036960045896,0.9168793558209398,1.0333143269697254,0.9011598089597868,1.2817904873616541,0.43243689726459716,1.062335438841442,1.1170999858280892,0.8659923235668195,0.9659192022100795,1.0411792331504057,1.5281187966387535
VOD.L,0.8697923122695816,0.9374769363097549,1.0,0.7824763741795746,0.5332826400786239,0.789740930013579,0.701270880654492,0.7274359075665366,0.9180754595591957,0.6904085238332774,0.7270704131653152,0.5783514272667792,0.8176977030836026,0.8694388248944563,0.6959812880748678,0.8810767357654266,0.7486848081489937,0.32186293003720806,0.6843026218344362,1.2314875200738764
ENEL.MI,1.18178161451309,0.8552133725121316,0.7824763741795746,1.0,0.6466408688106364,0.9523972230483522,1.097832500730732,0.7396281197686141,1.0084276760643844,0.9450025930174432,1.2322253023593444,1.2391223278064647,1.384715499248719,1.0102218367927036,0.9981626915625382,1.1042656908052957,1.438513473533048,1.0892693759977987,1.4380198368125905,1.3918317358581926
TTE.PA,0.7185893070435696,1.0753265266250043,0.5332826400786239,0.6466408688106364,1.0,0.6941588163586223,0.6984070790603982,0.6536113495900469,1.144952616396376,0.7162835751052492,0.7138667701749049,0.6807320107166815,0.7387535264030443,0.554496484745724,0.5498346131448922,0.8436358471795182,0.7106721703651233,0.8586680290575035,0.9675645204210213,2.4304835633009874
CS.PA,1.2502578364964108,0.7438560717999922,0.789740930013579,0.9523972230483522,0.6941588163586223,1.0,1.19588446027549,0.8855767102421437,1.1527593913499907,0.9826085551061077,0.9740595907728009,0.8307320250760443,0.9411849837838229,0.9703252324090187,0.8452877946220709,1.1967989156977794,1.10930584306841,1.175080255558013,1.2160807565079723,1.7991792411915957
BAS.DE,1.2564012065820138,0.8881194228666469,0.701270880654492,1.097832500730732,0.6984070790603982,1.19588446027549,1.0,0.8503771480664171,0.9709603791289327,1.001339247706376,1.174243051939002,1.0441001254710691,1.2521599657159657,1.3298189133585205,1.0193758015304792,1.1945188295309435,1.3294798294256323,1.9279702129062903,1.27443689259431,3.498276640878787
ZURN.SW,0.8166416892389751,0.7912994319425994,0.7274359075665366,0.7396281197686141,0.6536113495900469,0.8855767102421437,0.8503771480664171,1.0,1.1990632775247514,0.8102295179668348,0.6773370659261119,0.690498024758091,0.7024761299658827,0.8918047089081438,0.7630082844421937,0.8740125094972679,0.7829698690915227,0.8154443154142209,0.9072776087702955,1.1929360594158473
GSK.L,1.4152306203468137,1.0657036960045896,0.9180754595591957,1.0084276760643844,1.144952616396376,1.1527593913499907,0.9709603791289327,1.1990632775247514,1.0,1.1831406298925695,1.2807756169076,1.118199679405451,1.0514664086416088,0.73303822875271,1.1937983753180181,0.993417093799418,0.9129679239134606,0.5206191293634699,1.3138483490124202,1.2117633881462142
ALV.DE,1.128118724256546,0.9168793558209398,0.6904085238332774,0.9450025930174432,0.7162835751052492,0.9826085551061077,1.001339247706376,0.8102295179668348,1.1831406298925695,1.0,0.9735120162810641,0.8767959131654302,0.9586905903075489,1.1351197613564232,0.9657707247125364,1.2035352874879135,0.9853482277629105,1.4728221559710235,1.1885045045659248,1.786926572393194
KER.PA,1.3559530818108139,1.0333143269697254,0.7270704131653152,1.2322253023593444,0.7138667701749049,0.9740595907728009,1.174243051939002,0.6773370659261119,1.2807756169076,0.9735120162810641,1.0,1.156125059730092,0.9970746166612154,1.392862373537313,1.1082832834688399,1.4075300969938827,1.1281416988179571,1.6560085733653618,1.1690642251032857,2.0998521966037074
PRU.L,1.1377521886593862,0.9011598089597868,0.5783514272667792,1.2391223278064647,0.6807320107166815,0.8307320250760443,1.0441001254710691,0.690498024758091,1.118199679405451,0.8767959131654302,1.156125059730092,1.0,1.1664439543017695,1.2119131165995516,1.0538688241902407,1.4350022286037987,1.094187497347299,1.3334500094782826,1.0635078329744396,2.142871530883616
MOH.F,1.2722745571763474,1.2817904873616541,0.8176977030836026,1.384715499248719,0.7387535264030443,0.9411849837838229,1.2521599657159657,0.7024761299658827,1.0514664086416088,0.9586905903075489,0.9970746166612154,1.1664439543017695,1.0,1.1537905013188634,1.1110376456638,1.1403658398494698,1.2081668254925322,1.3233744859536254,1.2414994095928746,1.8044770238665486
LOR.F,1.4098262557475056,0.43243689726459716,0.8694388248944563,1.0102218367927036,0.554496484745724,0.9703252324090187,1.3298189133585205,0.8918047089081438,0.73303822875271,1.1351197613564232,1.392862373537313,1.2119131165995516,1.1537905013188634,1.0,1.1301537584340364,1.5278961629459877,1.3909362798237677,1.417932375570501,1.6462332067896626,1.8633902101509983
ABI.BR,1.1428224642267655,1.062335438841442,0.6959812880748678,0.9981626915625382,0.5498346131448922,0.8452877946220709,1.0193758015304792,0.7630082844421937,1.1937983753180181,0.9657707247125364,1.1082832834688399,1.0538688241902407,1.1110376456638,1.1301537584340364,1.0,1.3716355778418603,1.0835220574225204,1.2344566694310979,1.0670494216290352,2.5545573102691126
ASML.AS,1.6028992587702664,1.1170999858280892,0.8810767357654266,1.1042656908052957,0.8436358471795182,1.1967989156977794,1.1945188295309435,0.8740125094972679,0.993417093799418,1.2035352874879135,1.4075300969938827,1.4350022286037987,1.1403658398494698,1.5278961629459877,1.3716355778418603,1.0,1.4708425552354631,1.214053053394883,1.4853688407087593,1.288731480076695
SAF.PA,1.327017202143675,0.8659923235668195,0.7486848081489937,1.438513473533048,0.7106721703651233,1.10930584306841,1.3294798294256323,0.7829698690915227,0.9129679239134606,0.9853482277629105,1.1281416988179571,1.094187497347299,1.2081668254925322,1.3909362798237677,1.0835220574225204,1.4708425552354631,1.0,1.8001547610203832,1.035761615737621,2.2699218400996712
PRX.AS,2.281923848711659,0.9659192022100795,0.32186293003720806,1.0892693759977987,0.8586680290575035,1.175080255558013,1.9279702129062903,0.8154443154142209,0.5206191293634699,1.4728221559710235,1.6560085733653618,1.3334500094782826,1.3233744859536254,1.417932375570501,1.2344566694310979,1.214053053394883,1.8001547610203832,1.0,1.904370810228668,1.1777324752210427
AIR.PA,1.318248367655088,1.0411792331504057,0.6843026218344362,1.4380198368125905,0.9675645204210213,1.2160807565079723,1.27443689259431,0.9072776087702955,1.3138483490124202,1.1885045045659248,1.1690642251032857,1.0635078329744396,1.2414994095928746,1.6462332067896626,1.0670494216290352,1.4853688407087593,1.035761615737621,1.904370810228668,1.0,2.0036516411807264
ADYEN.AS,1.981970621661604,1.5281187966387535,1.2314875200738764,1.3918317358581926,2.4304835633009874,1.7991792411915957,3.498276640878787,1.1929360594158473,1.2117633881462142,1.786926572393194,2.0998521966037074,2.142871530883616,1.8044770238665486,1.8633902101509983,2.5545573102691126,1.288731480076695,2.2699218400996712,1.1777324752210427,2.0036516411807264,1.0
